website,filename,time1,total time
google.com,13-Apr-2020-21-47-15-umn837mdt1.pgsg,0.796782970428,4.46520400047
youtube.com,The cipher suites of this server are not supported
tmall.com,13-Apr-2020-21-47-45-o8sjk6i3nw.pgsg,2.25591182709,8.24704217911
facebook.com,13-Apr-2020-21-47-52-ad47n86f06.pgsg,4.27174210548,7.79654192924
baidu.com,13-Apr-2020-21-47-58-4qwujndpv0.pgsg,0.754822969437,5.70812702179
qq.com,The cipher suites of this server are not supported
sohu.com,13-Apr-2020-21-48-31-d0m6y8j3t4.pgsg,1.59185481071,12.0705170631
login.tmall.com,13-Apr-2020-21-48-37-nj887tr8ak.pgsg,1.48700118065,5.9689078331
taobao.com,13-Apr-2020-21-48-43-vj11cn79m0.pgsg,0.828137159348,6.14418983459
yahoo.com,13-Apr-2020-21-48-47-h0nk7pvmi1.pgsg,0.768978834152,4.42877006531
360.cn,13-Apr-2020-21-48-53-xgr0pfothf.pgsg,2.23363494873,6.04366016388
jd.com,13-Apr-2020-21-49-00-o101jsn2zo.pgsg,0.752785921097,6.27018594742
wikipedia.org,The cipher suites of this server are not supported
amazon.com,13-Apr-2020-21-49-04-c1uihzi81u.pgsg,0.735383033752,4.20845007896
sina.com.cn,13-Apr-2020-21-49-11-ppytbyf6os.pgsg,0.804105997086,6.59153795242
weibo.com,13-Apr-2020-21-49-17-c2u7kcz81c.pgsg,0.855829000473,6.35178613663
pages.tmall.com,13-Apr-2020-21-49-22-7hkngky6n1.pgsg,0.73011302948,5.32482194901
live.com,13-Apr-2020-21-49-27-8ycov7lhha.pgsg,1.51437711716,5.02110409737
reddit.com,13-Apr-2020-21-49-29-nwypv3s1lj.pgsg,0.703011035919,1.1893889904
netflix.com,13-Apr-2020-21-49-33-h5ru6pr90w.pgsg,0.755658149719,4.21923804283
xinhuanet.com,The cipher suites of this server are not supported
okezone.com,13-Apr-2020-21-50-01-q1r6vlud83.pgsg,1.56888008118,7.55119013786
blogspot.com,13-Apr-2020-21-50-05-b4b1bhxifb.pgsg,0.723430871964,4.23644804955
vk.com,13-Apr-2020-21-50-13-gke9u5kgrd.pgsg,4.07100296021,8.41493105888
csdn.net,13-Apr-2020-21-50-22-3dnzi57hay.pgsg,2.27502584457,8.31888508797
office.com,13-Apr-2020-21-50-26-xk08mpzngx.pgsg,0.749670028687,4.14583611488
zoom.us,The cipher suites of this server are not supported
instagram.com,13-Apr-2020-21-50-30-ylwgt6o6s4.pgsg,0.79669380188,4.41922497749
microsoft.com,The cipher suites of this server are not supported
alipay.com,The cipher suites of this server are not supported
yahoo.co.jp,The cipher suites of this server are not supported
bing.com,13-Apr-2020-21-50-58-331be9wkha.pgsg,1.26223397255,5.87230205536
google.com.hk,13-Apr-2020-21-51-03-1gybz5iwqf.pgsg,0.912000894547,5.13069200516
twitch.tv,The cipher suites of this server are not supported
bongacams.com,The cipher suites of this server are not supported
microsoftonline.com,The cipher suites of this server are not supported
livejasmin.com,13-Apr-2020-21-51-33-k5pxoyvo4w.pgsg,3.95991301537,4.63391780853
twitter.com,The cipher suites of this server are not supported
panda.tv,The cipher suites of this server are not supported
zhanqi.tv,13-Apr-2020-21-51-52-yvxnzm802q.pgsg,2.30124115944,8.34528303146
tribunnews.com,13-Apr-2020-21-51-59-2hrgs1l54v.pgsg,0.757161855698,6.6594209671
naver.com,13-Apr-2020-21-52-05-l43a8wsbh8.pgsg,0.71368098259,6.03016209602
stackoverflow.com,The cipher suites of this server are not supported
tianya.cn,13-Apr-2020-21-52-09-ldb80bj34a.pgsg,0.855237960815,3.88706588745
amazon.co.jp,13-Apr-2020-21-52-14-fbz2c12nq6.pgsg,1.47674393654,5.36837100983
google.co.in,13-Apr-2020-21-52-19-akl4gt20hi.pgsg,1.89733409882,5.42539691925
aliexpress.com,13-Apr-2020-21-52-24-h7r8l1d8x7.pgsg,0.763575792313,4.69559979439
ebay.com,13-Apr-2020-21-52-29-mxhisj3n48.pgsg,4.03009700775,5.01810288429
mama.cn,The cipher suites of this server are not supported
china.com.cn,The cipher suites of this server are not supported
